 Country,1990,2000,2011,2012,2013,2014,2015,2016,2017,2018,,2019,2020
Arab World,45.3,56.2,67.3,68.2,66.9,67.3,68.0,68.4,69.3,69.8,,..,..
Caribbean small states,73.6,86.8,92.6,90.9,88.9,88.9,87.7,89.6,88.8,89.0,,..,..
Central Europe and the Baltics,91.9,91.8,96.5,96.7,101.9,101.4,101.3,100.9,101.4,101.3,,..,..
Early-demographic dividend,34.9,46.5,65.9,67.9,69.6,72.8,73.5,74.9,74.4,75.0,,..,..
East Asia & Pacific,39.8,60.9,84.6,84.8,85.4,84.8,84.9,84.5,85.0,85.6,,..,..
East Asia & Pacific (excluding high income),34.3,57.5,82.8,83.0,83.6,82.9,83.0,82.6,83.3,84.5,,..,..
East Asia & Pacific (IDA & IBRD),33.6,57.1,82.7,82.8,83.5,82.8,82.9,82.5,83.1,84.4,,..,..
Euro area,94.6,102.7,108.1,107.6,108.3,107.8,107.9,107.9,107.9,108.0,,..,..
Europe & Central Asia,90.5,93.9,97.1,97.5,103.4,104.0,104.0,104.4,104.7,104.4,,..,..
Europe & Central Asia (excluding high income),88.0,86.1,89.8,91.0,95.7,96.9,97.1,97.6,98.0,97.5,,..,..
Europe & Central Asia (IDA & IBRD),88.1,87.1,90.3,91.4,96.4,97.4,97.6,98.2,98.6,98.1,,..,..
European Union,93.2,101.3,104.0,103.4,110.4,110.4,110.2,110.3,110.5,110.6,,..,..
Fragile and conflict affected situations,21.3,26.4,38.7,39.5,39.1,39.4,40.6,41.3,42.3,42.4,,..,..
Heavily indebted poor countries (HIPC),14.6,17.7,33.0,34.3,35.6,36.0,36.6,36.8,37.4,37.9,,..,..
High income,91.9,99.4,101.3,101.8,105.2,105.6,105.9,106.1,106.3,105.0,,..,..
IBRD only,44.8,59.5,78.7,79.8,81.8,83.8,83.6,84.1,83.6,84.0,,..,..
IDA & IBRD total,39.6,51.8,67.2,68.3,70.0,71.1,71.2,71.5,71.1,71.5,,..,..
IDA blend,27.8,29.0,41.8,43.2,46.2,44.1,45.5,44.6,44.4,45.4,,..,..
IDA only,16.6,26.7,39.8,41.3,42.1,42.8,43.9,45.1,45.6,46.2,,..,..
IDA total,20.3,27.5,40.5,41.9,43.5,43.2,44.4,44.9,45.2,45.9,,..,..
Late-demographic dividend,50.7,70.5,89.1,88.7,90.9,90.0,89.2,88.8,89.0,89.9,,..,..
Latin America & Caribbean,79.2,88.0,92.8,92.3,96.9,97.1,97.1,97.8,97.8,97.9,,..,..
Latin America & Caribbean (excluding high income),79.2,88.1,92.9,92.4,96.9,97.0,97.0,97.8,97.8,97.9,,..,..
Latin America & Caribbean (IDA & IBRD),78.8,88.1,92.9,92.3,97.0,97.1,97.1,97.9,97.8,97.9,,..,..
Least developed countries: UN classification,13.3,24.5,36.9,38.5,40.1,41.2,42.3,43.6,44.1,44.5,,..,..
Low & middle income,39.5,51.5,67.1,68.2,69.9,71.0,71.1,71.4,71.0,71.4,,..,..
Low income,17.6,19.6,35.6,36.8,36.6,36.8,36.9,37.1,37.5,37.7,,..,..
Lower middle income,32.0,41.5,59.8,62.0,63.9,66.4,67.3,68.3,67.6,68.2,,..,..
Middle East & North Africa,48.4,65.0,75.8,76.8,75.1,75.9,76.7,77.7,78.3,78.9,,..,..
Middle East & North Africa (excluding high income),47.4,63.7,73.3,74.1,71.9,72.8,73.6,74.7,75.2,75.8,,..,..
Middle East & North Africa (IDA & IBRD),47.1,63.5,73.0,73.8,71.5,72.5,73.2,74.3,74.8,75.4,,..,..
Middle income,41.4,54.9,71.7,72.9,75.0,76.3,76.5,77.0,76.6,77.1,,..,..
North America,92.4,95.6,96.8,97.7,97.5,98.6,99.3,99.7,100.0,100.0,,..,..
OECD members,85.3,94.5,99.0,99.2,103.7,104.8,105.5,106.0,106.6,105.6,,..,..
Other small states,43.5,53.2,66.6,67.4,67.7,68.5,68.8,69.2,69.5,69.4,,..,..
Pacific island small states,62.4,64.8,76.8,76.2,76.0,..,..,..,..,..,,..,..
Post-demographic dividend,93.9,100.7,101.6,102.0,105.1,105.6,105.4,105.8,105.7,104.3,,..,..
Pre-demographic dividend,16.3,18.7,33.5,35.1,37.9,36.5,37.5,36.9,37.4,37.7,,..,..
Small states,52.6,60.7,72.1,72.3,72.1,72.6,72.5,73.0,73.0,72.9,,..,..
South Asia,26.1,36.7,59.1,61.7,63.5,68.2,68.5,70.2,68.8,69.4,,..,..
South Asia (IDA & IBRD),26.1,36.7,59.1,61.7,63.5,68.2,68.5,70.2,68.8,69.4,,..,..
Sub-Saharan Africa,20.0,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Sub-Saharan Africa (excluding high income),19.9,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Sub-Saharan Africa (IDA & IBRD),20.0,23.0,36.9,38.5,41.2,40.1,40.7,40.2,40.4,40.7,,..,..
Upper middle income,51.0,70.9,90.0,89.8,92.4,92.2,91.6,91.5,91.7,92.4,,..,..
World,46.9,57.4,71.1,72.0,73.9,74.9,74.9,75.2,74.9,75.1,,..,..
Afghanistan,..,..,36.6,38.1,37.8,37.3,36.8,37.3,38.6,40.0,,..,..
Albania,85.9,69.8,89.4,91.1,94.2,94.8,95.1,94.2,94.7,95.7,,..,..
Algeria,51.7,66.7,101.5,..,..,..,..,..,..,..,,..,..
American Samoa,88.3,..,..,..,..,..,..,..,..,..,,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,,..,..
Angola,..,11.1,20.7,..,..,..,..,39.7,..,..,,..,..
Antigua and Barbuda,..,76.6,111.6,117.6,..,107.3,109.3,..,107.7,109.1,,..,..
Argentina,..,98.3,106.6,108.0,109.0,109.6,110.2,110.9,111.0,..,,..,..
Armenia,..,96.5,93.3,..,87.7,88.4,88.3,..,..,84.8,,..,..
Aruba,..,98.1,99.7,112.1,..,..,..,..,..,..,,..,..
Australia,..,..,..,..,..,..,145.9,141.9,141.2,..,,..,..
Austria,96.6,96.6,96.1,95.9,97.4,97.7,98.5,98.9,98.3,..,,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..,94.5,,..,..
"Bahamas, The",..,..,85.9,88.0,78.9,82.3,66.7,74.0,80.2,71.6,,..,..
Bahrain,88.0,100.0,94.2,92.5,97.3,99.2,101.8,104.3,104.1,101.7,,..,..
Bangladesh,14.0,50.5,56.2,58.8,62.6,..,69.7,75.0,75.2,78.3,,..,..
Barbados,81.1,105.6,105.6,..,..,109.7,109.5,109.1,108.6,105.8,,..,..
Belarus,99.4,..,105.6,105.2,104.1,104.5,104.6,103.9,102.7,101.7,,..,..
Belgium,102.2,152.4,166.9,168.3,171.4,172.7,174.7,170.4,167.8,..,,..,..
Belize,..,69.8,78.4,79.5,81.8,81.7,81.7,87.7,86.2,87.1,,..,..
Benin,..,13.7,37.6,..,44.8,45.8,48.9,50.7,..,..,,..,..
Bermuda,..,..,82.9,82.4,83.1,82.0,81.5,..,..,..,,..,..
Bhutan,..,26.6,69.2,74.2,78.6,85.9,86.8,89.7,92.8,95.7,,..,..
Bolivia,..,70.2,86.2,88.0,89.7,90.0,90.7,90.5,89.3,88.8,,..,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,,..,..
Botswana,41.4,82.6,..,..,..,..,..,..,..,..,,..,..
Brazil,..,..,99.9,97.0,105.8,105.2,102.9,103.9,102.4,..,,..,..
British Virgin Islands,101.4,102.1,99.4,97.3,97.8,97.5,96.9,97.3,107.1,..,,..,..
Brunei Darussalam,..,85.9,101.5,107.6,106.9,100.5,97.5,95.3,94.3,94.6,,..,..
Bulgaria,98.6,91.8,91.4,92.6,99.1,102.3,100.6,98.1,96.8,..,,..,..
Burkina Faso,..,8.2,20.8,23.2,26.0,28.3,32.3,34.9,37.6,40.7,,..,..
Burundi,4.0,..,22.1,24.9,29.9,36.8,42.9,47.4,50.4,51.1,,..,..
Cabo Verde,21.7,..,96.8,100.8,103.6,101.3,100.0,98.4,97.0,92.5,,..,..
Cambodia,..,12.2,..,..,..,..,..,..,..,..,,..,..
Cameroon,21.0,..,44.2,47.5,49.2,52.8,54.4,55.4,..,..,,..,..
Canada,100.2,102.9,102.3,109.9,109.6,109.7,110.9,113.4,114.5,..,,..,..
Cayman Islands,..,..,..,..,..,..,..,..,..,..,,..,..
Central African Republic,6.8,..,12.6,11.9,..,..,..,11.8,13.8,..,,..,..
Chad,2.4,4.8,14.0,14.0,15.5,14.3,13.9,14.2,..,..,,..,..
Channel Islands,..,..,..,..,..,..,..,..,..,..,,..,..
Chile,76.0,86.5,91.9,91.1,100.1,101.1,102.1,102.1,102.0,..,,..,..
China,31.0,..,..,..,..,..,..,..,..,..,,..,..
Colombia,..,76.7,103.6,99.6,100.0,98.7,98.1,98.1,98.5,100.1,,..,..
Comoros,..,..,..,..,61.1,63.1,..,..,57.2,61.4,,..,..
"Congo, Dem. Rep.",..,..,32.0,32.1,32.8,34.9,36.0,..,..,..,,..,..
"Congo, Rep.",40.9,..,..,48.8,..,..,..,..,..,..,,..,..
Costa Rica,44.4,64.3,105.9,109.6,117.7,123.4,125.3,129.2,133.5,137.7,,..,..
Cote d'Ivoire,..,..,..,..,..,31.8,35.1,37.7,41.3,44.3,,..,..
Croatia,..,86.4,101.2,100.8,101.0,100.5,101.0,101.1,101.8,..,,..,..
Cuba,93.5,83.9,91.6,90.8,91.0,97.7,99.1,101.6,102.2,101.9,,..,..
Curacao,..,..,..,..,90.8,..,..,..,..,..,,..,..
Cyprus,65.1,94.4,93.5,96.2,98.5,99.5,99.4,98.4,99.5,..,,..,..
Czech Republic,87.1,89.3,95.9,96.9,104.4,104.9,105.6,105.1,103.9,..,,..,..
Denmark,110.7,129.6,123.7,124.3,131.1,132.1,133.4,131.0,129.8,..,,..,..
Djibouti,..,11.1,39.4,41.5,42.8,45.0,45.3,47.2,47.6,51.5,,52.9,..
Dominica,76.4,118.4,92.3,..,..,90.0,93.8,..,..,..,,..,..
Dominican Republic,..,66.1,82.2,82.5,83.5,84.2,83.8,83.5,83.0,83.0,,..,..
Ecuador,..,58.3,98.8,102.1,104.4,107.2,106.2,105.5,103.6,102.8,,..,..
"Egypt, Arab Rep.",64.3,79.2,77.2,78.1,79.5,80.6,..,84.4,85.9,87.3,,..,..
El Salvador,..,57.2,71.0,72.9,77.1,77.1,75.6,73.9,71.2,71.4,,..,..
Equatorial Guinea,..,14.5,..,..,..,..,..,..,..,..,,..,..
Eritrea,..,28.5,49.0,52.4,53.1,52.9,47.5,..,44.9,45.4,,..,..
Estonia,..,96.6,106.6,107.1,107.6,108.1,110.8,115.5,118.9,..,,..,..
Eswatini,..,44.1,65.7,67.6,70.1,73.5,76.0,82.2,..,..,,..,..
Ethiopia,..,10.9,33.7,35.7,..,..,34.2,..,..,..,,..,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,,..,..
Fiji,..,81.9,94.9,94.3,..,..,..,..,..,..,,..,..
Finland,124.1,130.3,110.5,110.8,151.0,153.5,157.5,159.7,161.5,..,,..,..
France,99.2,105.6,107.1,106.1,105.0,104.2,103.9,103.7,104.1,..,,..,..
French Polynesia,77.8,..,..,..,..,..,..,..,..,..,,..,..
Gabon,..,..,..,..,..,..,..,..,..,..,,..,..
"Gambia, The",10.7,..,..,..,..,..,..,..,..,..,,..,..
Georgia,..,88.1,..,..,98.8,99.1,100.8,101.9,104.0,106.8,,..,..
Germany,..,98.9,100.9,99.3,98.3,97.3,96.4,96.2,95.2,..,,..,..
Ghana,27.8,31.5,52.6,53.4,64.6,62.0,66.1,67.7,68.1,70.8,,64.5,..
Gibraltar,..,91.5,..,..,..,..,..,109.2,115.7,..,,..,..
Greece,90.2,90.3,102.2,103.0,103.8,99.2,98.4,99.5,101.4,..,,..,..
Greenland,..,..,..,..,..,..,..,..,..,..,,..,..
Grenada,96.1,..,..,..,109.8,111.0,110.7,116.5,116.8,122.1,,..,..
Guam,..,..,..,..,..,..,..,..,..,..,,..,..
Guatemala,..,28.6,51.0,51.4,51.5,51.2,52.6,51.9,51.5,51.4,,..,..
Guinea,4.9,..,29.0,..,..,31.0,..,..,..,..,,..,..
Guinea-Bissau,..,12.7,..,..,..,..,..,..,..,..,,..,..
Guyana,..,..,99.0,99.2,..,..,..,..,..,..,,..,..
Haiti,..,..,..,..,..,..,..,..,..,..,,..,..
Honduras,..,..,71.8,70.3,67.7,53.5,55.4,55.9,55.9,..,,..,..
"Hong Kong SAR, China",..,..,86.8,107.4,100.8,100.5,101.4,102.4,103.7,105.8,,..,..
Hungary,87.6,96.5,95.9,97.2,105.0,104.5,103.3,102.3,103.6,..,,..,..
Iceland,..,110.4,107.0,109.6,120.6,120.7,119.6,117.7,116.9,..,,..,..
India,..,37.3,64.7,67.6,69.5,75.0,74.7,76.0,74.1,76.6,,..,..
Indonesia,42.5,54.2,79.3,81.5,81.3,82.4,86.3,86.3,88.2,90.0,,..,..
"Iran, Islamic Rep.",44.3,74.5,80.2,81.9,80.8,82.2,83.0,84.8,84.7,..,,..,..
Iraq,..,28.7,..,..,..,..,..,..,..,..,,..,..
Ireland,101.8,109.5,118.1,119.4,..,118.3,118.7,118.6,124.3,..,,..,..
Isle of Man,..,..,..,..,..,..,..,..,..,..,,..,..
Israel,92.5,104.2,103.9,103.3,103.7,103.8,104.2,106.2,106.0,..,,..,..
Italy,80.5,91.2,102.6,101.4,102.0,102.0,102.1,101.9,100.9,..,,..,..
Jamaica,..,86.4,95.4,..,85.6,85.4,83.8,85.9,83.6,83.6,,..,..
Japan,..,..,..,..,..,..,..,..,..,..,,..,..
Jordan,74.6,84.1,79.0,75.2,71.9,70.3,..,..,63.6,64.2,,..,..
Kazakhstan,..,96.2,100.3,102.7,103.9,108.0,112.2,114.8,114.7,114.7,,113.8,..
Kenya,..,37.7,..,..,..,..,..,..,..,..,,..,..
Kiribati,37.3,70.7,..,..,..,..,..,..,..,..,,..,..
"Korea, Dem. People's Rep.",..,..,..,..,..,..,93.3,..,..,..,,..,..
"Korea, Rep.",91.1,96.3,96.5,97.5,99.1,99.6,99.7,100.1,100.0,..,,..,..
Kosovo,..,..,..,..,..,..,..,..,..,..,,..,..
Kuwait,80.9,91.8,96.0,99.3,97.1,96.3,101.0,..,..,..,,..,..
Kyrgyz Republic,105.3,86.2,87.7,88.3,89.4,91.2,91.7,93.8,93.8,95.0,,..,..
Lao PDR,18.8,28.1,41.8,45.3,49.8,55.9,60.7,63.6,64.9,65.0,,..,..
Latvia,..,91.4,104.0,104.8,112.9,112.2,111.2,110.4,110.2,..,,..,..
Lebanon,..,..,..,..,..,..,..,..,..,..,,..,..
Lesotho,27.0,31.8,69.3,72.0,69.3,69.4,69.7,67.2,71.3,..,,..,..
Liberia,..,30.3,41.5,..,..,33.6,32.9,..,..,..,,..,..
Libya,..,..,..,..,..,..,..,..,..,..,,..,..
Liechtenstein,..,..,101.1,101.5,..,103.3,101.7,101.9,105.1,..,,..,..
Lithuania,..,96.6,104.6,104.2,106.4,105.8,105.4,105.0,106.0,..,,..,..
Luxembourg,..,99.9,102.6,102.1,104.0,103.9,104.2,105.3,104.8,..,,..,..
"Macao SAR, China",62.9,85.4,89.5,90.9,91.2,92.0,93.8,98.3,100.1,100.9,,..,..
Madagascar,18.0,..,35.8,37.2,..,38.0,38.3,38.2,37.1,37.1,,..,..
Malawi,12.3,26.5,33.1,33.0,36.2,38.1,38.9,36.9,38.6,39.9,,..,..
Malaysia,65.7,80.9,80.7,83.5,84.4,88.8,88.7,87.6,88.0,85.4,,..,..
Maldives,..,53.2,..,..,..,..,..,..,..,..,,..,..
Mali,4.5,12.5,33.9,..,36.7,37.4,36.8,36.6,37.1,37.0,,..,..
Malta,79.4,88.0,93.3,95.1,95.4,96.2,97.8,97.8,104.7,..,,..,..
Marshall Islands,..,..,..,..,..,..,68.8,66.6,..,..,,..,..
Mauritania,8.2,15.1,21.0,25.0,29.1,29.3,30.3,32.2,32.6,37.1,,..,..
Mauritius,52.5,75.5,93.0,95.2,97.4,100.8,99.5,99.8,99.1,97.8,,..,..
Mexico,55.3,72.4,91.3,93.6,95.9,100.1,104.1,106.1,108.2,..,,..,..
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..,..,,..,..
Moldova,98.1,82.5,88.7,89.0,88.9,87.9,86.5,85.6,86.5,86.5,,..,..
Monaco,..,..,..,..,..,..,..,..,..,..,,..,..
Mongolia,..,72.2,..,..,..,..,..,..,..,..,,..,..
Montenegro,..,..,94.3,94.4,..,..,93.5,91.3,90.5,90.5,,..,..
Morocco,31.1,34.3,61.5,64.1,..,..,..,..,75.3,76.6,,..,..
Mozambique,5.3,4.7,23.9,23.9,32.1,31.5,31.9,..,33.4,..,,..,..
Myanmar,18.7,37.6,..,..,..,52.3,..,63.0,67.1,71.3,,..,..
Namibia,40.4,62.1,..,..,..,..,..,..,..,..,,..,..
Nauru,..,53.4,..,71.4,..,83.2,..,83.6,..,..,,..,..
Nepal,19.5,28.8,60.1,64.5,66.4,68.1,69.4,72.8,76.8,..,,83.0,..
Netherlands,113.6,119.7,127.4,127.9,..,..,134.6,133.8,136.5,..,,..,..
New Caledonia,..,..,..,..,..,..,..,..,..,..,,..,..
New Zealand,88.8,114.0,121.9,120.7,119.2,119.1,118.1,117.8,118.2,..,,..,..
Nicaragua,..,57.4,..,..,..,..,..,..,..,..,,..,..
Niger,3.4,5.0,11.1,12.3,13.4,15.3,17.0,19.8,20.7,..,,..,..
Nigeria,21.5,22.4,41.9,45.0,53.5,43.0,44.7,39.8,..,..,,..,..
North Macedonia,..,80.0,..,81.6,79.8,79.3,81.2,..,80.3,..,,..,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,,..,..
Norway,103.0,117.5,111.5,109.7,111.4,110.8,113.2,114.7,114.2,..,,..,..
Oman,35.2,77.9,97.5,99.4,100.5,..,102.4,104.1,102.6,102.5,,..,..
Pakistan,12.8,..,28.9,29.4,30.3,32.8,34.9,36.6,36.1,39.1,,..,..
Palau,..,90.8,..,..,121.7,122.9,..,..,..,..,,..,..
Panama,61.1,67.0,73.5,..,77.7,77.8,77.9,83.1,78.3,..,,..,..
Papua New Guinea,8.2,..,..,33.0,..,..,..,39.9,..,..,,..,..
Paraguay,31.7,62.9,72.0,78.6,..,..,..,..,..,..,,..,..
Peru,..,78.5,94.2,91.9,97.6,96.3,97.4,100.6,102.5,103.6,,..,..
Philippines,71.5,..,..,..,..,90.9,91.5,92.5,90.6,..,,..,..
Poland,89.8,99.4,95.6,95.7,105.4,104.8,105.7,106.7,108.1,..,,..,..
Portugal,60.0,108.2,107.6,108.7,118.5,114.7,116.9,116.4,118.7,..,,..,..
Puerto Rico,..,..,82.8,87.2,89.8,91.5,98.4,85.4,..,..,,..,..
Qatar,91.1,94.8,..,..,..,..,..,..,..,..,,..,..
Romania,97.1,80.8,97.6,97.0,96.0,94.2,92.9,91.0,91.4,..,,..,..
Russian Federation,..,..,91.1,94.7,96.9,97.7,101.0,101.5,102.1,..,,..,..
Rwanda,14.4,10.8,36.3,39.7,42.2,41.9,39.4,39.0,41.1,43.3,,..,..
Samoa,..,83.9,93.5,93.2,..,99.6,99.1,98.0,..,..,,..,..
San Marino,51.9,47.5,96.1,98.3,..,..,..,..,..,63.8,,..,..
Sao Tome and Principe,..,..,53.9,61.7,67.9,78.7,86.9,88.7,95.9,..,,..,..
Saudi Arabia,..,..,..,..,..,..,115.0,107.6,102.0,106.8,,..,..
Senegal,10.3,12.4,39.6,44.0,47.4,50.1,..,..,48.1,45.7,,..,..
Serbia,..,92.1,94.8,95.6,95.7,95.4,97.4,96.9,95.9,95.6,,..,..
Seychelles,..,76.4,74.3,81.2,82.3,81.2,84.4,86.6,85.9,84.2,,..,..
Sierra Leone,10.9,..,33.9,40.7,36.3,..,36.5,39.8,41.1,..,,..,..
Singapore,..,..,..,..,..,..,..,107.5,107.0,..,,..,..
Sint Maarten (Dutch part),..,..,..,103.7,..,88.5,..,..,..,..,,..,..
Slovak Republic,..,86.4,93.0,92.9,91.6,91.2,91.5,91.8,91.6,..,,..,..
Slovenia,..,102.6,98.4,98.3,111.4,110.9,111.0,117.5,117.1,..,,..,..
Solomon Islands,10.5,17.9,45.6,47.0,..,..,..,..,..,..,,..,..
Somalia,..,..,..,..,..,..,..,..,..,..,,..,..
South Africa,74.4,85.5,98.9,101.7,..,112.8,108.8,112.1,109.0,..,,..,..
South Sudan,..,..,6.5,..,..,..,7.7,..,..,..,,..,..
Spain,104.0,114.0,121.8,123.3,123.4,123.4,124.6,126.4,126.9,..,,..,..
Sri Lanka,86.2,..,100.0,101.8,101.8,..,..,99.3,100.5,102.6,,..,..
St. Kitts and Nevis,..,118.6,104.7,88.8,122.1,105.0,107.5,108.7,..,..,,..,..
St. Lucia,59.4,83.4,91.5,88.8,87.8,87.3,88.1,88.9,89.2,89.4,,..,..
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,,..,..
St. Vincent and the Grenadines,..,94.7,101.7,101.9,104.0,106.5,107.7,108.1,108.6,108.7,,..,..
Sudan,..,..,35.9,39.3,42.3,42.7,45.3,43.7,47.0,..,,..,..
Suriname,64.6,..,81.4,83.4,85.3,85.4,88.6,..,..,..,,..,..
Sweden,91.7,170.5,96.5,97.5,136.9,141.6,150.0,153.3,157.9,..,,..,..
Switzerland,92.6,92.5,95.2,95.1,97.6,..,99.6,100.6,100.2,..,,..,..
Syrian Arab Republic,42.6,42.0,74.4,77.8,52.4,..,..,..,..,..,,..,..
Tajikistan,..,67.2,80.1,82.4,83.8,..,..,..,..,..,,..,..
Tanzania,..,..,..,..,..,30.2,27.0,26.8,27.7,30.1,,..,..
Thailand,29.1,..,88.1,86.8,85.7,123.6,118.2,118.4,114.4,116.5,,..,..
Timor-Leste,..,..,66.0,67.5,67.1,70.4,74.4,79.3,83.8,87.0,,..,..
Togo,10.9,19.7,..,..,..,..,..,..,52.1,..,,..,..
Tonga,97.5,112.9,104.0,96.1,96.8,99.9,102.4,..,..,..,,..,..
Trinidad and Tobago,84.7,..,..,..,..,..,..,..,..,..,,..,..
Tunisia,39.0,76.2,95.3,..,..,..,..,99.3,..,..,,..,..
Turkey,37.8,61.7,84.5,82.9,98.8,101.4,101.5,101.5,103.4,..,,..,..
Turkmenistan,..,..,..,..,..,84.0,..,..,..,..,,..,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,,..,..
Tuvalu,78.2,..,..,..,..,85.3,90.9,76.8,..,71.2,,..,..
Uganda,8.4,..,..,..,..,..,..,..,..,..,,..,..
Ukraine,..,102.7,92.1,95.4,95.0,95.0,..,..,..,..,,..,..
United Arab Emirates,66.7,..,..,..,..,..,..,93.3,100.4,..,,..,..
United Kingdom,85.8,102.4,94.1,91.6,126.5,128.8,126.4,..,127.7,..,,..,..
United States,..,..,96.2,96.5,96.3,97.5,98.2,98.5,98.7,..,,..,..
Uruguay,..,104.7,..,..,..,..,..,..,126.6,..,,..,..
Uzbekistan,..,86.7,89.9,91.8,91.4,91.5,91.3,92.0,92.7,..,,..,..
Vanuatu,..,37.0,..,..,..,..,54.9,..,..,..,,..,..
"Venezuela, RB",..,66.1,87.6,89.8,97.6,96.3,94.5,91.4,91.6,..,,..,..
Vietnam,..,..,..,..,..,..,..,..,..,..,,..,..
Virgin Islands (U.S.),105.4,..,..,..,..,..,..,..,..,..,,..,..
West Bank and Gaza,..,80.1,88.4,87.8,87.9,88.4,89.9,91.3,93.1,93.9,,..,..
"Yemen, Rep.",..,..,35.6,36.9,40.0,..,..,43.3,..,..,,..,..
Zambia,..,..,..,..,..,..,..,..,..,..,,..,..
Zimbabwe,40.6,42.3,..,50.2,51.3,..,..,..,..,..,,..,..
"Created from: Gender Statistics
Series : School enrollment, secondary, female (% gross)",,,,,,,,,,,,,